Date,AAPL,NVDA,ORCL,MSFT,WMT,COST,PM,JPM,AXP,VTI,IVV,VOO,FDFIX,VFTAX,VLACX,SCHX,^GSPC,Mkt-RF,SMB,HML,RF
2019-01-01 00:00:00+00:00,39.74302291870117,3.565070867538452,45.72003936767578,98.43038177490234,29.111806869506836,195.33285522460938,55.851959228515625,86.86082458496094,94.49040985107422,126.36862182617188,246.73988342285156,225.56370544433594,10.490226745605469,,46.062740325927734,8.853343963623047,2704.10009765625,0.084,0.0288,-0.0045000000000000005,0.0021
2019-02-01 00:00:00+00:00,41.34526824951172,3.8257229328155518,47.63731384277344,105.59375,30.0717716217041,199.07337951660156,63.29210662841797,88.29383850097656,99.53324127197266,130.8657989501953,254.7086181640625,232.894287109375,10.827446937561035,,47.56049346923828,9.155224800109863,2784.489990234375,0.034,0.0206,-0.0271,0.0018
2019-03-01 00:00:00+00:00,45.55133819580078,4.457764148712158,49.081146240234375,111.63897705078125,29.62824249267578,220.96475219726562,64.34768676757812,85.64572143554688,100.97440338134766,132.00613403320312,258.5612487792969,236.05023193359375,11.037067413330078,24.300607681274414,48.17613220214844,9.277349472045898,2834.39990234375,0.011000000000000001,-0.0305,-0.0412,0.0019
2019-04-01 00:00:00+00:00,48.122066497802734,4.493514537811279,50.5615348815918,123.62259674072266,31.40944480895996,224.05825805664062,63.81336975097656,98.1841812133789,108.30037689208984,137.92916870117188,269.9698181152344,246.9549560546875,11.438085556030273,25.433982849121094,50.40205383300781,9.775023460388184,2945.830078125,0.0397,-0.0172,0.0216,0.0021
2019-05-01 00:00:00+00:00,41.983009338378906,3.3629367351531982,46.446258544921875,117.0722885131836,30.981857299804688,218.6286163330078,56.861454010009766,90.33348846435547,106.34744262695312,129.0328826904297,252.96556091308594,231.27850341796875,10.755270004272461,23.81231689453125,47.205135345458984,9.156523704528809,2752.06005859375,-0.0694,-0.0131,-0.023700000000000002,0.0021
2019-06-01 00:00:00+00:00,47.645381927490234,4.081836223602295,52.293338775634766,127.27249908447266,33.92518615722656,241.80162048339844,57.893531799316406,95.31224060058594,114.4410171508789,137.65399169921875,268.88433837890625,246.16836547851562,11.51500129699707,25.39670181274414,50.300411224365234,9.755566596984863,2941.760009765625,0.0693,0.0028000000000000004,-0.006999999999999999,0.0018
2019-07-01 00:00:00+00:00,51.28521728515625,4.193431377410889,51.678340911865234,129.4671630859375,33.89140701293945,252.2053680419922,62.56916046142578,98.89282989501953,115.3032455444336,140.11752319335938,274.6477966308594,251.0606231689453,11.624842643737793,26.023540496826172,51.25505447387695,9.942153930664062,2980.3798828125,0.011899999999999999,-0.019299999999999998,0.004699999999999999,0.0019
2019-08-01 00:00:00+00:00,50.25008773803711,4.163357734680176,47.979835510253906,130.97775268554688,35.08272933959961,269.70953369140625,53.948219299316406,94.32141876220703,111.9438247680664,137.19935607910156,270.09521484375,246.94187927246094,11.493775367736816,25.509056091308594,50.39230728149414,9.766237258911133,2926.4599609375,-0.0258,-0.0239,-0.0479,0.0016
2019-09-01 00:00:00+00:00,54.12126922607422,4.330684185028076,50.71706771850586,132.5292205810547,36.619232177734375,264.2077941894531,56.821876525878906,101.0439453125,110.0001220703125,139.00364685058594,273.99609375,250.61940002441406,11.714456558227539,25.855161666870117,51.06024932861328,9.903061866760254,2976.739990234375,0.0143,-0.0097,0.0677,0.0018
2019-10-01 00:00:00+00:00,60.111637115478516,5.001174449920654,50.21938705444336,136.66629028320312,36.18109130859375,272.461181640625,61.95197296142578,107.25129699707031,109.07012939453125,142.58135986328125,281.3004455566406,257.3084716796875,11.907549858093262,26.6810359954834,52.3873291015625,10.164024353027344,3037.56005859375,0.0206,0.0029,-0.019,0.0016
2019-11-01 00:00:00+00:00,64.57966613769531,5.392271041870117,51.97084426879883,144.3017578125,36.7457389831543,275.534423828125,63.0854377746582,114.03005981445312,112.13858795166016,147.9820098876953,291.5296630859375,266.6383056640625,12.39942455291748,27.780221939086914,54.32485580444336,10.548364639282227,3140.97998046875,0.0388,0.0078000000000000005,-0.0199,0.0012
2019-12-01 00:00:00+00:00,71.17214965820312,5.858345031738281,49.045509338378906,150.83773803710938,36.668609619140625,270.12139892578125,64.72856140136719,120.6419906616211,116.21821594238281,151.31121826171875,298.1524658203125,273.24310302734375,12.704329490661621,28.578777313232422,55.62894821166992,10.774203300476074,3230.780029296875,0.0277,0.0073,0.0178,0.0014000000000000002
2020-01-01 00:00:00+00:00,75.01616668701172,5.886479377746582,48.55488204956055,162.82252502441406,35.48484420776367,280.7821350097656,63.778663635253906,114.54935455322266,121.2407455444336,152.03866577148438,300.0699768066406,274.4652099609375,12.773272514343262,28.76883888244629,56.04029083251953,10.99605655670166,3225.52001953125,-0.0011,-0.0313,-0.0625,0.0013
2020-02-01 00:00:00+00:00,66.25443267822266,6.724026679992676,45.990718841552734,154.96018981933594,33.37416458129883,258.37615966796875,63.13856887817383,101.13109588623047,102.98133850097656,139.8770751953125,274.6990051269531,252.23435974121094,11.723541259765625,26.485445022583008,51.481815338134766,10.1241455078125,2954.219970703125,-0.08130000000000001,0.010700000000000001,-0.038,0.0012
2020-03-01 00:00:00+00:00,61.77869415283203,6.566865921020508,44.939979553222656,151.2593536376953,35.2151985168457,262.5955810546875,56.26712417602539,78.41556549072266,80.19862365722656,119.85877227783203,239.87774658203125,219.8209228515625,10.274354934692383,22.862218856811523,44.79854202270508,8.75482177734375,2584.590087890625,-0.13390000000000002,-0.0479,-0.1388,0.0013
2020-04-01 00:00:00+00:00,71.37749481201172,7.281349182128906,49.25452423095703,171.87994384765625,37.83970642089844,279.0533142089844,58.5633544921875,83.40635681152344,85.48212432861328,136.2736053466797,271.9830627441406,249.09129333496094,11.528461456298828,26.062129974365234,50.90548324584961,10.065154075622559,2912.429931640625,0.1365,0.0245,-0.0134,0.0
2020-05-01 00:00:00+00:00,77.24219512939453,8.844343185424805,50.23591995239258,175.75469970703125,38.62110137939453,284.74005126953125,57.58991622924805,85.63713836669922,89.55536651611328,143.62738037109375,285.07965087890625,260.8883056640625,12.141630172729492,27.51266098022461,53.483699798583984,10.578667640686035,3044.31005859375,0.0558,0.024900000000000002,-0.048499999999999995,0.0001
